alias_name,canonical_name,team_id
querétaro,Querétaro,520
raal la louvière,RAAL La Louviere,380
racing santander,Racing Santander,406
raith rovers,Raith Rovers,383
rangers,Rangers,384
rapid wien,Rapid Wien,511
rayo vallecano,Rayo Vallecano,471
rb leipzig,RB Leipzig,381
reading,Reading,385
real betis,Real Betis,73
real madrid,Real Madrid,386
real oviedo,Real Oviedo,344
real sociedad,Real Sociedad,417
real sociedad ii,Real Sociedad B,418
real valladolid,Real Valladolid,470
real zaragoza,Real Zaragoza,503
reggiana,Reggiana,389
reggina,Reggina,390
reims,Reims,391
remo,Remo,562
rennes,Rennes,392
rfc seraing,RFC Seraing,410
rheindorf altach,Rheindorf Altach,537
ried,Ried,540
rizespor,Rizespor,394
rkc waalwijk,RKC Waalwijk,482
rochdale,Rochdale,395
rodez,Rodez,396
roma,Roma,397
ross county,Ross County,398
rotherham united,Rotherham United,399
royal antwerp fc,Royal Antwerp,43
saint-étienne,Saint-Etienne,429
salernitana,Salernitana,400
salford city,Salford City,401
salzburg,Salzburg,505
sampdoria,Sampdoria,402
samsunspor,Samsunspor,403
sandhausen,SV Sandhausen,404
santa clara,Santa Clara,405
santos,Santos,551
santos laguna,Santos Laguna,570
sassuolo,Sassuolo,407
schalke 04,Schalke 04,408
scunthorpe united,Scunthorpe United,409
sd amorebieta,Amorebieta,35
sd ponferradina,Ponferradina,368
servette,Servette,533
sheffield united,Sheffield United,412
sheffield wednesday,Sheffield Wednesday,413
shrewsbury town,Shrewsbury Town,414
sint-truiden,Sint-Truiden,433
sion,Sion,535
sivasspor,Sivasspor,415
sochaux,Sochaux,416
solihull moors,Solihull Moors,419
southampton,Southampton,420
southend united,Southend United,421
spal,SPAL,425
sparta rotterdam,Sparta Rotterdam,426
spezia,Spezia,428
sport recife,Sport Recife,557
sporting braga,Sporting Braga,422
sporting gijón,Sporting Gijon,423
st. gallen,St. Gallen,581
st. johnstone,St Johnstone,430
st. mirren,St Mirren,431
st. pauli,St. Pauli,432
stade lausanne-ouchy,Stade Lausanne-Ouchy,585
standard liège,Standard Liege,435
stenhousemuir,Stenhousemuir,436
stevenage,Stevenage,437
stirling albion,Stirling Albion,438
stockport county,Stockport County,439
stoke city,Stoke City,440
stranraer,Stranraer,441
strasbourg,Strasbourg,442
sturm graz,Sturm Graz,507
stuttgart,Stuttgart,443
sunderland,Sunderland,445
sutton united,Sutton United,446
swansea city,Swansea City,447
swindon town,Swindon Town,448
são paulo,São Paulo,546
südtirol,Sudtirol,444
tamworth,Tamworth,449
telstar,Telstar,450
ternana,Ternana,452
thun,Thun,586
tigres uanl,Tigres UANL,573
tijuana,Tijuana,527
toluca,Toluca,526
torino,Torino,454
torquay united,Torquay United,455
tottenham hotspur,Tottenham,456
toulouse,Toulouse,457
trabzonspor,Trabzonspor,458
tranmere rovers,Tranmere Rovers,459
troyes,Troyes,460
truro city,Truro City,461
twente,Twente,462
ud ibiza,UD Ibiza,243
ud las palmas,Las Palmas,268
udinese,Udinese,463
union berlin,Union Berlin,466
union saint-gilloise,Union Saint-Gilloise,434
us alessandria,Alessandria,27
utrecht,Utrecht,467
valenciennes,Valenciennes,469
vasco da gama,Vasco da Gama,544
venezia,Venezia,472
villarreal,Villarreal,475
villarreal ii,Villarreal B,476
virtus entella,Virtus Entella,477
vitesse,Vitesse,478
vitória,Vitória,552
vitória guimarães,Vitória de Guimarães,222
volendam,Volendam,480
volos nfc,Volos NFC,481
walsall,Walsall,483
watford,Watford,485
wattens,Wattens,538
wealdstone,Wealdstone,486
wehen wiesbaden,Wehen Wiesbaden,487
werder bremen,Werder Bremen,488
west bromwich albion,West Bromwich Albion,489
west ham united,West Ham United,490
weymouth,Weymouth,492
wigan athletic,Wigan Athletic,493
willem ii,Willem II,494
winterthur,Winterthur,582
woking,Woking,495
wolfsberger ac,Wolfsberger AC,512
wolfsburg,Wolfsburg,496
wolverhampton wanderers,Wolverhampton Wanderers,497
wrexham,Wrexham,498
wycombe wanderers,Wycombe Wanderers,499
yeni malatyaspor,Yeni Malatyaspor,500
yeovil town,Yeovil Town,501
york city,York City,502
young boys,Young Boys,531
yverdon sport,Yverdon Sport,584
zulte-waregem,Zulte-Waregem,484
zürich,Zürich,532
ümraniyespor,Umraniyespor,465
